aclew_id,age_mo_round,p/b,t/d,k/ɡ,m,f,n,l,r,s/z,ʃ/ʒ,ŋ,x/ɣ,vms.count,total.cons.tokens,total.n.vocs,language,n_multiclip4
6964,5,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28,100,Tseltal,0
4935,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,54,Tseltal,0
6107,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92,152,Tseltal,0
1991,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,81,Tseltal,1
8179,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,127,Tseltal,0
1188,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,61,233,Tseltal,0
456,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,381,Tseltal,0
2109,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,128,Tseltal,0
3214,8,NA,NA,NA,10,NA,10,NA,NA,NA,NA,NA,NA,2,34,68,Tseltal,0
7273,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,279,Tseltal,0
7439,9,NA,10,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2,80,284,Tseltal,5
3591,10,15,31,40,12,NA,21,11,NA,NA,NA,NA,NA,6,223,643,Tseltal,5
909,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,61,Tseltal,1
8787,11,64,107,14,16,NA,NA,NA,NA,NA,NA,NA,NA,4,260,260,Tseltal,4
684,13,21,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,2,85,116,Tseltal,0
9415,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,82,218,Tseltal,1
7326,14,17,120,NA,NA,NA,86,52,NA,NA,NA,NA,NA,4,374,392,Tseltal,5
6028,16,NA,15,NA,74,NA,11,NA,NA,NA,NA,NA,NA,3,183,391,Tseltal,6
5147,17,NA,24,NA,18,NA,NA,15,NA,NA,NA,NA,NA,3,198,335,Tseltal,4
9592,19,32,107,NA,35,NA,21,NA,NA,NA,NA,NA,NA,4,266,235,Tseltal,5
1143,8,NA,6,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,2,24,99,Yélî Dnye,0
8018,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43,109,Yélî Dnye,0
8274,10,NA,15,NA,22,NA,NA,19,NA,NA,NA,NA,NA,3,81,118,Yélî Dnye,1
5623,11,22,28,5,54,NA,20,11,NA,NA,NA,NA,NA,6,209,197,Yélî Dnye,6
3446,12,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,1,91,208,Yélî Dnye,1
4624,12,NA,16,6,NA,NA,5,NA,NA,NA,NA,NA,NA,3,72,153,Yélî Dnye,1
2977,13,NA,10,10,5,NA,NA,NA,NA,NA,NA,NA,NA,3,55,148,Yélî Dnye,1
5139,13,27,40,11,8,NA,NA,12,NA,NA,NA,NA,NA,5,384,303,Yélî Dnye,5
7035,13,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,33,104,Yélî Dnye,1
1504,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,107,Yélî Dnye,0
9562,16,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,43,193,Yélî Dnye,0
6934,17,21,19,9,14,NA,NA,NA,NA,NA,NA,NA,NA,4,114,146,Yélî Dnye,4
